No.,Name_en,Name_zh,Style_zh,Style_en,Floors,Height_ft,Height_m,Year,Architect,Description_zh,Description_en,Location,Link,Picture (CC),Attribution,Side Note Title_zh,Side Note Title_en,Side Note Picture (CC),Side Note_zh,Side Note_en,Side Note Attribution,Contact_zh,Contact_en,Contact Number,Table List_zh,Table List_en,Table Content_zh,Table Content_en
06,Jeweler’s Building,珠寶商大樓,布雜藝術,Beaux Arts,40,523,159,1927,Giaver & Dinkelberg,"珠寶商大樓高41層，於1927年完工時，為紐約市以外最高的建築物，也是繼青箭大樓之後採用陶瓦（Terra-Cotta）為材料而成功吸引了承租者。
    當時，大樓的另一特色為室內停車場的設計，從2樓到22樓皆為停放車輛的空間，汽車從瓦克大道（Wacker Dr.）的下層入口進入大樓，再以電梯垂直運送到不同樓層的停車區，在1940年後，由於電梯機械運作問題及日漸增大的汽車體積不符合當初的空間設計，於是將原本的停車樓層改為辦公空間。
    珠寶商大樓更曾出現在多部電影及電視劇中，註明的例子如「蝙蝠俠：開戰時刻」。",,41.8865°N 87.6268°W,http://en.wikipedia.org/wiki/35_East_Wacker,https://farm8.staticflickr.com/7006/6523006727_9d9b2bc917_s.jpg,"""<a href=""https://flic.kr/p/aWq7De"">Jewelers</a>"" by <a href=""https://www.flickr.com/photos/ifmuth/"">Ian Freimuth</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-SA 2.0</a>",,,,,,,,,,,,,
09,London Guarantee Building,倫敦保障大樓,布雜藝術,Beaux Arts,22,318,97,1923,Alfred S. Alschuler,倫敦保障大樓座落於芝加哥最重要的地段，十字路口周邊四棟重要的建築物（青箭大樓、論壇報大樓、和北密西跟大道333號大樓）幾乎同時完成於1920年代。,,41.888°N 87.625°W,http://en.wikipedia.org/wiki/London_Guarantee_Building,https://farm8.staticflickr.com/7187/6939633077_577be32a24_s.jpg,"""<a href=""https://flic.kr/p/bzer9a"">London Guarantee Building</a>"" by <a href=""https://www.flickr.com/photos/patmilphotos/"">Pat M2007</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",布雜藝術,Beaux-Arts,,十九世紀中葉，法國儼然是世界的藝術中心。在法國第二共和執政者大力的支持下，繪畫、雕塑、建築各方面都有極高的成就，在西方近代藝術史上更具有絕對的影響力，在此文化優勢下，美國藝術家們不得不遠渡重洋到法國取經，這些美國藝術家們學成歸國後，開始在各自的領域發揮所長，在建築方面，隨著大型公共建築物的新建、富豪的宅邸、新型旅館的需求，這些建築師與藝術家們剛好可以適時發揮，甚至在美國藝術史上創造一個所謂的美國文藝復興時代。當時赴法國求學的美國藝術家大多來到一所名叫École des Beaux-Arts 的學校，此即為布雜藝術（Beaux-Arts）名稱的由來。,,,,,,,,,
10,Two Prudential Plaza,保德信第二廣場 (鉛筆大樓),後現代主義,Postmodernism,64,995,303,1990,"Loebl, Schlossman & Hackl","    保德信廣場包含兩棟建築：保德信第一廣場（One Prudential Plaza）是南側的方盒子、保德信第二廣場（Two Prudential Plaza）是北側像鉛筆的大樓。前者建於1950年，當時的建築環境非常強調建築物表面的上升直線，而且材料喜好玻璃和鋼鐵，然而這棟建築物卻採用石灰石跟鋁合金來設計表面材質，可說是建築表面設計的一項突破。
    而保德信第二廣場建於1990年，完工當時是世界最高的鋼筋混凝土建築。其設計受到紐約克萊斯勒大廈（Chrysler Building）的啟發，兩者形式大略是垂直向上至一定高度，漸漸退縮，至最高處僅保留尖端。這棟建築物遠望跟隔壁的怡安中心相互呼應。",,41°53′08″N 87°37′22″W,http://en.wikipedia.org/wiki/Two_Prudential_Plaza,https://farm2.staticflickr.com/1361/4610455844_3744fe2c35_s.jpg,"""<a href=""https://flic.kr/p/82pMU1"">Prudent</a>"" by <a href=""https://www.flickr.com/photos/orijinal/"">Jaysin Trevino</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",紐約克萊斯勒大廈,Chrysler Building (NYC),https://farm3.staticflickr.com/2638/3948257949_cebb91a7ef_s.jpg,保德信第二廣場設計受到紐約克萊斯勒大廈（Chrysler Building）的啟發，兩者形式大略是垂直向上至一定高度，漸漸退縮，至最高處僅保留尖端。這棟建築物遠望跟隔壁的怡安中心相互呼應。,,"""<a href=""https://flic.kr/p/71TRwV"">Chrysler Building</a>"" by <a href=""https://www.flickr.com/photos/lassi_kurkijarvi/"">Lassi Kurkijärvi</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",,,,,,,
18,Manhattan Building,曼哈頓大樓,芝加哥學派,Chicago School,16,170,51.7,1891,William LeBaron Jenney,    曼哈頓大樓是芝加哥學派摩天大樓的典型範例，其建築師被視為美國摩天大樓之父。此建築是世界上現存最早的純鐵骨架支撐的摩天大樓，也是芝加哥現存第三老的高樓，前兩名是鳥屋及會堂大廈。這棟建築的磚質立面是直接掛在鋼結構上，可避免因為內部結構調整或脹縮造成的裂縫；而其以不同表情人臉搭配捲曲葉子的浮雕裝飾材料，即是芝加哥常見的陶瓦。,,41°52′33″N 87°37′45″W,http://en.wikipedia.org/wiki/Manhattan_Building_(Chicago),https://farm7.staticflickr.com/6011/6206819381_4284cd1af1_s.jpg,"""<a href=""https://flic.kr/p/astzag"">Manhattan Building Chicago-1</a>"" by <a href=""https://www.flickr.com/photos/gouldy/"">Gouldy</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",芝加哥學派,Chicago School,,"在1880-1890年間，建築學界出現一個學派—芝加哥學派。當時建築師大部分主要從事高層建築的建造工作，於是首次使用金屬的全框架結構，以滿足越建越高的企圖。並且希望短時間內利用有限的土地創造最大的有效建築面積，所以歷史樣式的裝飾雕刻被消減甚至消除，主張簡潔的立面以符合時代工業化的精神。爭速度，重實效，擴大利潤成為壓倒性宗旨。特色如下：
1.由於高樓擋住陽光所以窗戶要大，增加室內的照度和通風。
2.全金屬框架結構提供了開大窗的條件。
3.「芝加哥窗」是重要特色。它是整開間的大窗，一般分成三部分，中間大片固定窗左右各是可上下推拉的窄窗。
4.結構很外顯，整體而言多是鋼框架結構搭配磚造立面材料。",,,,,,,,,
22,Chase Bank Tower,大通銀行大樓,現代主義,Modernism,60,850,259,1969,Perkins & Will,"    因為銀行需要廣大的空間容納客戶，尤其靠近街道的低樓層；另一方面，業主仍希望有傳統的辦公空間，因此大通銀行大樓底層寬而上方收窄的設計既漂亮又合乎使用需求。加上大樓前下凹的大廣場，高雅的噴水池，還有連接地鐵站的通道，是非常成功的設計。
    而廣場一角的馬賽克壁畫則是知名俄國藝術家夏卡爾（Marc Chagall）的作品。",,41.8816°N 87.6301°W,http://en.wikipedia.org/wiki/Chase_Tower_(Chicago),http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Chase_Tower_in_Chicago.jpg/97px-Chase_Tower_in_Chicago.jpg,"""<a href=""http://en.wikipedia.org/wiki/Chase_Tower_(Chicago)#mediaviewer/File:Chase_Tower_in_Chicago.jpg"">Chase Tower in Chicago</a>"" by <a href=""http://www.flickr.com/people/21787785@N03"">Monika Thorpe</a> is licensed under <a href=""http://creativecommons.org/licenses/by/2.0"">CC BY 2.0</a>",The Four Season,The Four Season,https://farm8.staticflickr.com/7321/9179415485_75d0abd9b0_s.jpg,The Four Season (1974) ,The Four Season (1974) ,"""<a href=""https://flic.kr/p/eZ9Uqe"">Four Seasons, Chicago, Illinois</a>"" by <a href=""https://www.flickr.com/photos/kenlund/"">Ken Lund</a> is licensed under <a href=""https://creativecommons.org/licenses/by-sa/2.0/"">CC BY-SA 2.0</a>",,,,,,,
28,Aqua Tower,水大樓,現代主義,Modernism,86,859,261.8,2009,Studio Gang Architects,"    水大樓最突出的特點就是玻璃幕牆和每層略有不同的波浪形陽台的組合，看似漣漪垂直表現在立面上。陽台從玻璃幕牆伸出，最遠達12英尺，除了讓居住者有機會直接享受室外的都市風景外，也具相當良好的遮陽效果。
    這樣設計手法產生了遠近不同的效果：近處仰視有種強烈的雕塑感，而遠處觀看仍然是一個細長的長方體。大樓強烈的造型亦猶如裸露的石灰岩層，即大湖區常見的特色地質，建築師的靈感其實是由此而來。",,41°53′11″N 87°37′12″W,http://en.wikipedia.org/wiki/Aqua_Tower,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aqua_Tower_Chicago.jpg/109px-Aqua_Tower_Chicago.jpg,"""<a href=""http://www.flickr.com/photos/gshowman/3668250139/"">aqua-tower-2</a>"" by <a href=""https://www.flickr.com/photos/gshowman/"">George Showman</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",,,,,,,,,,,,,
07,Wrigley Building,青箭大樓,布雜藝術,Beaux Arts,30,425,130,1924,"Graham, Anderson, Probst & White","    青箭大樓以絕佳的地理位置和耀眼白色外觀再加上大時鐘，使它成為芝加哥最著名的建築物之一。實際上這也是青箭口香糖的總部大樓，以創立者威廉瑞格理（William Wrigley）命名的大樓分南北兩棟，南棟有一高達30層樓之高塔，以入口門廳和天橋連接至北棟，兩建築物之間形成一個有花草、水池且可供休息的開放公共空間。
    此大樓更以精細的陶瓦（Terra-Cotta）為外牆材料著稱，在建築師細心的安排下，將外牆有乳白色隨著建築物升高而漸轉為淡藍白色，以視覺色彩來加強大樓的高聳與尊貴。",,41.889707°N 87.624861°W,http://en.wikipedia.org/wiki/Wrigley_Building,https://farm3.staticflickr.com/2135/2149147551_e53a5b2ccd_s.jpg,"""<a href=""https://flic.kr/p/4gUWG8"">The Wrigley Building</a>"" by <a href=""https://www.flickr.com/photos/beautifulcataya/"">Shihmei Barger 舒詩玫</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc-nd/2.0/"">CC BY-NC-ND 2.0</a>",陶瓦,Terra-Cotta,,"陶瓦（Terra-Cotta）
源自義大利文「調理過的岩石（Cooked earth）」，其防火與塑造性強之特性，使得陶瓦成為經歷過1871年大火的芝加哥於20世紀初建築物長使用的外觀材料，簡單來說陶瓦就是以黏土及其他料塑型後於火中燒製，可依照不同形狀製造，成為與眾不同的特色。",,,,,,,,,
27,John Hancock Tower,約翰漢考克大樓,現代主義,Modernism,100,1500,457,1969,"Skimore, Owings and Merrill (SOM)","    漢考克大廈底層為零售空間，向上依序為停車庫、辦公空間及住宅區。44樓設有一個全美國最高的室內游泳池。在94層處有一個觀景台，能飽覽芝加哥和密西根湖的景色。95層與96層處有雲霄全景餐廳。建築師設計了直抵基岩的巨大沉箱基礎，其中一個入地191英呎（58公尺），這是芝加哥市前所未見的。為此，設計者還訂製了專門的鑽井設備。楔形塔身面積由基底處的3716平方公尺收縮到頂部的1672平方公尺。
    楔形造型既是功能需求使然，又符合結構要求。這種造型不僅有利於結構穩定性，還有利於有效使用空間。外簷柱與橫樑構成一個鋼筒，並由在外立面上清晰可見的斜撐以及與這些斜撐和角柱相連接的結構樓板所加強，其結果是結構體系非常簡潔並且十分有效。因此常成為芝加哥的熱門取景地點。",,41.8988°N 87.6230°W,http://en.wikipedia.org/wiki/John_Hancock_Center,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Hancock_tower_2006.jpg/97px-Hancock_tower_2006.jpg,"""<a href=""http://commons.wikimedia.org/wiki/File:Hancock_tower_2006.jpg#mediaviewer/File:Hancock_tower_2006.jpg"">Hancock tower 2006</a>"" by <a href=""http://en.wikipedia.org/wiki/User:Path2k6"">Path2k6</a> is licensed under <a href=""http://creativecommons.org/licenses/by/2.5"">CC BY 2.5</a>",,,,,,,,,,,,,
30,Trump International Hotel & Tower,川普大樓,現代主義,Modernism,98,1389,423,2009,"Skimore, Owings and Merrill (SOM)",    作為芝加哥新地標的這棟摩天大樓，連同天線高達423.4公尺，實際高356.6公尺，是芝加哥第二高樓。最底部的三層樓退縮，是因為建築師希望川普大樓在視覺上能夠更融入周圍的建築物。最初的設計原規劃低樓層為辦公室空間出租，但由於當時住宅市場前景樂觀，因此改為以住宅和飯店業務為主。,,41.8891°N 87.626674°W,http://en.wikipedia.org/wiki/Trump_International_Hotel_and_Tower_(Chicago),http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Chicago_%288%29.jpg/97px-Chicago_%288%29.jpg,"""<a href=""http://commons.wikimedia.org/wiki/File:Chicago_(8).jpg#mediaviewer/File:Chicago_(8).jpg"">Chicago (8)</a>"" by <a href=""http://commons.wikimedia.org/wiki/User:BDS2006"">Basil D Soufi</a> is licensed under <a href=""http://creativecommons.org/licenses/by-sa/3.0"">CC BY-SA 3.0</a>",基座,Base,https://farm4.staticflickr.com/3242/2608903677_86383c2d50_s.jpg,沿芝加哥河退縮的基座,,"""<a href=""https://flic.kr/p/4YxjaT"">Trump Tower</a>"" by <a href=""https://www.flickr.com/photos/mhansen514/"">Michael Hansen</a> is licensed under <a href=""https://creativecommons.org/licenses/by-nc/2.0/"">CC BY-NC 2.0</a>",,,,,,,
08,Chicago Tribune Tower,芝加哥論壇報大樓,哥德復興,Gothic Revival,36,462,141,1925,Raymond M. Hood & John M. Howells,"    1845年成立的芝加哥論壇報，為慶賀成為中西部最大報社及擴大所需工作空間，於1922年舉辦芝加哥總部大樓國際競圖，除了基本空間外，競圖還要求設計一棟最漂亮的辦公大樓，加上總獎金十萬美元的誘因，來自美國本土以及世界各地22個國家共263件作品參加競賽。這棟大樓即為當年首獎，巧妙地將哥德建築概念轉換於高層大樓。
    此競圖深深影響美國建築發展，二獎芬蘭建築師沙利南（Eliel Saarinen）逐漸向上退縮的設計，後來成為高層建築的模仿對象；而德國格羅佩斯（Walter Gropius）現代主義風格的設計，在80年後的今天看來仍毫不遜色。這兩位建築師此後均在建築界有十分重要的影響力，連首獎建築師後來都追隨其風格。",,41.890426°N 87.62367°W,http://en.wikipedia.org/wiki/Chicago_Tribune_Tower,https://farm4.staticflickr.com/3134/2783596074_6ac92b3582_s.jpg,"""<a href=""https://flic.kr/p/5eYE8L"">Chicago Illinois - 18</a>"" by <a href=""https://www.flickr.com/photos/stuseeger/"">Stuart Seeger</a> is licensed under <a href=""https://creativecommons.org/licenses/by/2.0/"">CC BY 2.0</a>",,,,,,,,,,,,,
